,total_num,average_revenue,rating,voting_total,month
1,382.0,14.67030842670157,6.241965286425899,128480.0,1
2,326.0,31.893403024539875,6.575645977914535,183288.0,2
3,372.0,44.45218777419355,6.611507722130416,251744.0,3
4,350.0,47.83522251714285,6.642146751716202,218069.0,4
5,363.0,94.85304576859504,6.794199572728181,353405.0,5
6,389.0,109.1519479562982,6.664777955275591,396249.0,6
7,363.0,73.30245113498623,6.808616289456278,344812.0,7
8,413.0,32.471369891041164,6.502324749812866,209743.0,8
9,588.0,22.998528386054424,6.8808582202584265,287199.0,9
10,474.0,31.98001259493671,6.947307462176253,280776.0,10
11,326.0,89.05030475766871,6.936096086650298,292486.0,11
12,456.0,75.48987516885964,7.00491614841162,368866.0,12
